CellName	Stroma_Adventitial Fibroblast	Stroma_Airway Smooth Muscle	Epithelial_Alveolar Epithelial Type 1	Epithelial_Alveolar Epithelial Type 2	Stroma_Alveolar Fibroblast	Endothelial_Artery	Immune_B	Epithelial_Basal	Immune_Basophil/Mast 1	Immune_Basophil/Mast 2	Endothelial_Bronchial Vessel 1	Endothelial_Bronchial Vessel 2	Endothelial_Capillary	Endothelial_Capillary Aerocyte	Endothelial_Capillary Intermediate 1	Endothelial_Capillary Intermediate 2	Immune_CD4+ Memory/Effector T	Immune_CD4+ Naive T	Immune_CD8+ Memory/Effector T	Immune_CD8+ Naive T	Epithelial_Ciliated	Immune_Classical Monocyte	Epithelial_Club	Immune_Dendritic	Epithelial_Differentiating Basal	Immune_EREG+ Dendritic	Stroma_Fibromyocyte	Epithelial_Goblet	Immune_IGSF21+ Dendritic	Immune_Intermediate Monocyte	Epithelial_Ionocyte	Stroma_Lipofibroblast	Endothelial_Lymphatic	Immune_Macrophage	Stroma_Mesothelial	Epithelial_Mucous	Immune_Myeloid Dendritic Type 1	Immune_Myeloid Dendritic Type 2	Stroma_Myofibroblast	Immune_Natural Killer	Immune_Natural Killer T	Epithelial_Neuroendocrine	Immune_Neutrophil	Immune_Nonclassical Monocyte	Immune_OLR1+ Classical Monocyte	Stroma_Pericyte	Immune_Plasma	Immune_Plasmacytoid Dendritic	Immune_Platelet/Megakaryocyte	Epithelial_Proliferating Basal	Immune_Proliferating Macrophage	Immune_Proliferating NK/T	Epithelial_Proximal Basal	Epithelial_Proximal Ciliated	Epithelial_Serous	Epithelial_Signaling Alveolar Epithelial Type 2	Immune_TREM2+ Dendritic	Stroma_Vascular Smooth Muscle	Endothelial_Vein
Lep_ST_P8_Cluster8	0	0	0	0.000257805	0	0	0.000385617	0.021242646	0	0	0	0	0	0	0	0	0.00152959	0	0	0	0.709059745	1.12E-05	0.013759431	0	0	0	0	0.025116648	0.001388791	8.95E-06	0	0	0	0.015357385	0	0.172632159	3.49E-06	0	0	0.000334437	0	0	0	0	0	0	0	0	0.02248933	0	0	0	0	0.015379325	0	0	0.001043474	0	0
MA_ST_P6_Cluster0	4.45E-05	0.055361173	0.023103976	0.025550964	0.016283175	0.024728208	0.014520044	0.08098705	0.012381723	0.00080948	0.01299761	0.001409923	0.029931973	0.012916716	0.022504725	0.028187169	0.007334838	0.062576436	0.001422559	0.023534035	0.055740878	0.016171097	0.028947694	0	0.028092738	0.00031573	0.003141959	0.060987926	0.000388211	0.001865817	0.016020262	2.23E-05	0.016254747	0.082359186	4.41E-05	0.027755265	0.000473451	0.008056606	8.43E-05	0.047039882	0.001456242	0.008423694	0.002466099	0.009534374	0.002325618	0.05009079	0.012987739	0.000500746	0.001762376	0.006753319	0.003404279	0.012337892	0.0008569	0.003944093	0.008716658	0.000327629	0.002181876	0.016200749	0.005380523
MA_ST_P6_Cluster3	0.037540198	0.080441488	0.002133142	0.090523916	0.011909339	0.013991007	0.047246281	9.25E-05	0.000497033	0.016380163	0.037892113	0.00111445	0.050214814	0.009600405	0.002335262	0.012614181	0.026143337	0.004000984	0.000152293	0.000164934	0.012689531	0.020614298	0.000140841	0	0.000567495	0.000751786	0.003933807	0.00590228	0.018119292	0.000434636	0	0	0.043181701	0.101152816	0.0085532	5.39E-06	0.005330315	0.004845776	0.005473975	0.025776186	0.014909853	0.000451282	0.000752686	0.008479595	0.003124644	0.015852458	0.004017734	0.009849342	7.15E-05	0.00279779	0.000895708	0.000504101	0.000550265	8.81E-05	0.029411501	0.015202189	0.078129869	0.05078011	0.061670165
MA_ST_P6_Cluster5	4.28E-05	0.000324841	0.03160248	0.314458245	0.000346786	0.001435398	0.003227318	5.50E-05	0.001623984	0.000327361	0.000882151	2.54E-06	0.077805919	0.013890187	0.03608376	0.021108841	0.003604443	0.02822995	0	0.000315674	0.040318355	0.003950671	0.0543511	0	0.004645072	0.000765176	0	0.000921414	0	4.57E-05	0	0	0.001472491	0.090173267	0.000308014	0.000789815	0.000117644	0.000682802	0.000132095	0.077849259	0.002146054	0.001987512	8.59E-05	0.003890212	0.002423762	0.000488429	0.000376195	0	0	0.039565675	0.014789331	0.031466692	0	0.004075481	4.77E-05	0.082948973	0.001681798	0.000146714	0.001988996
MA_MP_ST_P6_Cluster4	0.000430072	0.002463438	0.002443783	0.019287285	0.001783671	0.003155713	0.000636239	0.014496581	0.000342867	0	0.000130995	2.53E-05	0.03625698	0.000222235	0.003222803	0.003339333	0.002647725	0.006375182	7.11E-05	0.00400924	0.028239101	0.011072384	0.749864629	0	0.002614105	0.002354875	0	0.005441026	0.000651272	4.32E-05	0.00015829	0.000430072	0.006177936	0.041036022	0.000522157	0.01709373	1.14E-05	0.005102613	0.004589453	0.003381663	0.000219046	0.003895585	0.00013235	0.004259082	0.000263559	0.002657163	0	0	2.79E-07	1.67E-05	0	0.001018518	0	0	7.06E-05	0.004811186	0	0.002087826	0.00044369
MA_MP_ST_P6_Cluster6	0.205667373	0.007719612	0.014629444	0.216565955	0.023740631	0.023163624	0.002870211	0.019159369	0.028687335	0.009827619	0.020680078	0.001137285	0.006298337	0.001932525	0.000837421	0.001902251	0.010769084	0.00578863	6.33E-05	0.000291305	0.004167629	0.002526774	0.051291739	0	0.030369894	1.98E-05	0.000111174	0.038779291	0.00035189	0	0	0.002575435	0.03289013	0.044698929	0.00175708	0.013225299	0.0064061	0.00317074	0.032750678	0.005779513	0.000801723	0.001285666	0.000701192	0.001561511	0.000656462	0.008825261	0.017924712	0.015984833	1.71E-05	0.001517557	0.000373378	0.000976176	0	0	0.000663823	0.033380217	0.011670029	0.005427317	0.025629494
MA_MP_ST_P6_Cluster9	0.019200316	2.39E-05	0.00251923	0.001918072	0.068276504	0.003705502	0.0004246	0.077809516	0.017731051	0	8.85E-05	0.000103391	0.025465476	0.012906099	0.028824739	0.024747444	0.036081927	0.04207521	5.89E-05	0.002928879	0.020270802	0.049760524	0.075139461	0	0.009427505	0.00805871	0.008924284	0.009473578	0.002102029	0	0.000502935	8.06E-06	0.000910236	0.19696235	4.76E-05	0.021162685	0.003110825	0.005486538	0.148341331	0.011865707	0.002798656	4.49E-05	0.001433309	0.02465963	0.006961435	0.001815577	0	2.01E-05	0	0.004559587	0.015020828	0.002368178	0	0	0	0.000156272	0	0.001742068	0.001975038
MP_ST_P1_Cluster0	0	0.000946743	0.060032824	0.038359252	0.000398729	0.009321558	0.074053247	0.013319054	0.050398442	0.015368558	0.009220687	0.001436155	0.089623989	0.054709751	0.000112222	0.035597881	0.069438509	0.024465339	0.016944882	0.047804767	0.0004244	0.05380915	0.017776661	0	0.02081004	0.001030039	0	0.000703416	0.000288319	0.001669462	0.004044686	0	0.004155393	0.099331368	0	0.002256073	0.001109296	0.00168317	0	0.088569562	0.003240189	2.98E-05	0.009196513	0.00919373	0.006376334	0.00362175	0.012941968	0.008398689	6.64E-05	1.74E-06	0.005012903	0.01666369	0	0	0	0.010808213	3.62E-05	0.002326409	0.002871765
MP_ST_P1_Cluster1	8.46E-05	0.001671062	0.059032198	0.029520405	0.00070777	0.007502764	0.017870853	0.015917684	0.005465035	0.001058592	0.014408816	0.001090774	0.07126466	0.054297047	0	0.028797397	0.078436763	0.057627057	0.033675776	0.057461454	0.000887868	0.069198339	0.045717353	0	0.016254801	0.000407626	0	0.005995165	0.000542753	0.001304591	0.003889728	0	0.001041395	0.160137941	0	0.002298275	0.000794896	0.000387891	0.001183523	0.075070629	0.001261107	0.003325414	0.002014714	0.014472386	0.000797875	0.028059209	0.003311073	0.001790228	1.11E-05	0.00014863	0.000365171	0.007622	0	0	8.14E-05	0.007103448	0.000115117	0.001330788	0.007186899
MP_ST_P1_Cluster10	0	0.000522345	0.00942452	0.007006701	4.85E-05	0.001763482	0.010241733	0.001306348	0.003900525	0.001097688	0.000445332	4.00E-05	0.021522265	0.032821674	5.83E-05	0.004442438	0.016868255	0.008258868	0.005929407	0.008326332	7.08E-06	0.059013107	0.001674359	0.001017526	0.004007087	0.023074131	0	0.002492074	0.041723178	0.00574882	4.35E-05	0	0	0.583246512	0	0.011557875	0.001317266	0.019241276	0	0.006587108	0.000224343	0	0.001866817	0.002885657	0.004743061	0.003971983	4.30E-05	0.000287464	8.01E-06	0.000287691	0.080379295	0.002128556	0.000171777	0	0	0.000623024	0.006873533	0.0001392	0.000590905
MP_ST_P1_Cluster2	0.005125705	0.054668532	0.001704804	0.000706787	0.105722877	0.035915575	0.018458328	0.008909195	0.026505186	0.025275565	0.044053231	0.005863724	0.124134224	0.09224733	0.000891884	0.005429996	0.031435588	0.005461542	0.007734155	0.031500488	0.000197109	0.018512561	0.003148007	0	0.007826383	0.00012069	0.004280481	0.000286464	0.017331447	0.001881765	0.003278289	0	0.07887768	0.044254352	0	0	0.002076462	0.001622952	0.020895384	0.026362551	0.023329582	0.001568047	0.000486074	0.001290904	0.001383	0.036450011	0.006793758	0.006476203	0	0	0.00058675	0.004694456	0	0	0	4.52E-05	0.004785932	0.033160387	0.016252397
MP_ST_P1_Cluster4	0	0.001572359	0.024126492	0.023359697	0.000640644	0.015679075	0.021554442	0.031949241	0.011609627	0.003578898	0.035360311	0.001246513	0.165883853	0.057456841	0.000428839	0.050371376	0.0776626	0.016226122	0.047954505	0.058112628	0.000282614	0.075567841	0.013830771	0	0.021366242	0.00309269	0	0.009993713	0.007275551	0.002456703	0.005536479	0	0.023556244	0.042357398	0	0.009574076	0.007336909	0.002285087	8.48E-06	0.023036703	0.026462525	0	0.000280987	0.001816542	0.004926234	0.027605231	0.013417469	0.008230219	0	0	0.000942716	0.003724844	0	0	0	0.005530145	0.001285237	0.003958728	0.009487557
MP_ST_P1_Cluster6	0	0.00074419	0.080763807	0.00849234	0.002227327	0.001750631	0.024584856	0.005532667	0.00225595	0.000743818	0.01638823	0.001920743	0.035861252	0.02336003	0	0.022331187	0.032914986	0.009706533	0.003731827	0.044898277	2.03E-05	0.032618477	0.367189308	0	0.005188471	0.000334523	0	5.23E-05	0.000340152	0.002923697	0.005768085	0	0.005731738	0.068473442	0	0.00022765	0.002840207	0.001483395	0.000206983	0.086255322	0.001133909	0.001592953	0.007389649	0.008005398	0.010636714	0.022148313	0.003042981	0.001827921	0.001903668	0.00090499	0.000936667	0.031891541	0	0	0	0.00714884	0	0.00067121	0.002902552
MP_ST_P1_Cluster9	0.001553246	0.008104299	0.030387189	0.285879043	0.086952903	0.006772215	0.004698893	0.011193605	0.007346829	0.005459277	0.008355953	0.002198218	0.043747878	0.067526746	0.001951719	0.007011491	0.017860981	0.003222379	0.004699804	0.008764201	0	0.010237928	0.021603858	0	0.002972952	0.016228181	0	0.005073315	0.067694138	0.001604964	0.000276352	0	0.011060272	0.015423212	7.08E-05	0.035268316	0.024288361	0.000597472	0.000935442	0.045854373	0.001463339	0	0.000915851	0.003092709	0.000392121	0.011892921	0.000282881	0.010938699	0	0	3.54E-05	0.002815536	0	0	0	0.025350181	0.003863276	0.014165502	0.051914759
MP_ST_P5_Cluster2	0.003140407	0.001981788	0	0.000557021	0.016319153	0.030151453	0.009185487	0.000136573	0.004513039	0.000480529	0.009448821	0.000184408	0.037422831	0.013749154	5.86E-05	0.000780743	0.05332683	0.020747223	0.005085793	0.017113861	0.000620745	0.034424658	0.001243805	0.001018213	0.001458833	0.015090208	0.001149203	0	0.017987914	0.000650252	0	0	0.016966202	0.523254324	0	0	0.011774002	0.00274826	0.002292515	0.014220967	0.007637123	0	0.000308164	0.005028012	0.005671691	0.008160425	0.003107021	0.001112623	0	0	0.000434331	0.004130054	0	0	0	0	0.07027415	0.003969354	0.020883286
MP_ST_P5_Cluster9	0	0.025091338	0.033467296	0.010650849	0.005898734	0.005447156	0.049846002	0.06235771	0.028368876	0.000272579	0.010548309	0.000641359	0.041696607	0.011062986	0.025487957	0.003192762	0.044143832	0.013203942	0.063978025	0.047187384	0.002040947	0.011230117	0.057362669	0	0.001473753	0.000984314	2.38E-05	0.003305412	0.000406222	5.51E-05	0.008568452	0	0.042781016	0.039999898	0	0.039141802	0.019315387	0.004548279	6.16E-06	0.065271626	0.000614333	0.016938579	0.028222616	0.007029312	0.000906183	0.000945924	0.025345132	0.016596406	0.003081523	0.002825733	9.35E-05	0.015086689	0.00057981	0.000393755	0.00604734	0	0	0.006282598	0.089951857
MP_ST_P6_Cluster2	0	0.029409471	0.129778121	0.017469247	0.007086922	0.011573621	0.013037449	0.016262085	0.003210178	3.01E-05	0.004102238	0.009578982	0.04214682	0.016950417	0.021224519	0.024808782	0.041851885	0.052915236	0.001001905	0.014325785	0.016687781	0.050036529	0.009152389	0	0.000640791	0.004016567	0.015580996	0.004003773	0.001294232	0.01169912	0.00838079	0	0.106525039	0.106504278	0.000263426	0.001774262	0.009901573	0.001040537	0	0.049390025	0.002397164	0.009960824	0.002987973	0.00826642	0.00417754	0.031530652	0.003458148	0.000551149	0.009870792	0	0.018437734	0.000674463	0	0.005393092	7.02E-05	0	0	0.039530266	0.009037648
MP_ST_P6_Cluster7	0	0.002123332	0.112032708	0.028828504	0	0.001037446	0.001967185	0.023058064	0.001955995	0.000281474	0.004600759	0.001189311	0.086871851	0.021305213	0.012692223	0.016153416	0.004808078	0.036079276	0	0.01262635	0.012305193	0.036979585	0.121066965	0	0.005774713	0	0	0.032019229	0.001836203	0.003706952	0.017803937	0	0.011508715	0.19658347	0	0.021949755	0.001305049	0.000110844	0	0.088683205	0.007627773	0.002413766	0.000114495	0.021719445	0.004424944	0.008305239	0.000281605	0.001856337	0.008459268	8.76E-05	4.44E-05	0.000236297	0	0.000452104	0	0.021850596	0	0.002881103	0
MP_ST_P7_Cluster1	0.176086399	0.01156442	0.016613884	0.021558899	0.047102693	0.014867299	0.052256079	0.000699037	0.012506063	0.001630379	0.016856829	0.00060104	0.018724605	0.003356946	0.004020573	0.003174562	0.01949159	0.012119758	0.006044673	0.000379254	0.016992384	0.018925301	0.002795291	0.005385809	0.001052315	0.001460334	0.002470841	0.000705525	0.018202897	0.000218514	0	0.012616642	0.125803827	0.065777765	0.003042816	0.004015456	0.017615256	0.007145244	0.022649453	0.018698787	0.001458073	9.36E-06	0.000198672	0.006839895	0.0005598	0.00992609	0.045513594	0.024018514	0.002843261	0.000181467	0.004652953	0.001774425	8.59E-06	0.000858499	0	0.000804833	0.01271102	0.036488833	0.06592268
